INFO 2025-11-03 10:42:24,139 autoreload Watching for file changes with StatReloader
INFO 2025-11-03 10:42:51,390 basehttp "GET / HTTP/1.1" 200 28816
WARNING 2025-11-03 10:42:54,364 log Not Found: /favicon.ico
WARNING 2025-11-03 10:42:54,391 basehttp "GET /favicon.ico HTTP/1.1" 404 27041
INFO 2025-11-03 10:43:04,984 basehttp "GET /login/ HTTP/1.1" 200 7293
INFO 2025-11-03 10:43:20,036 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-11-03 10:43:21,355 basehttp "GET /owner/dashboard/ HTTP/1.1" 200 27248
INFO 2025-11-03 10:43:23,203 basehttp "GET /static/js/notifications.js HTTP/1.1" 200 10080
INFO 2025-11-03 10:43:23,337 basehttp "GET /static/css/mobile-enhancements.css HTTP/1.1" 200 8515
INFO 2025-11-03 10:43:24,640 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:43:24,650 basehttp "GET /api/notifications/ HTTP/1.1" 200 296
INFO 2025-11-03 10:43:24,852 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:43:24,907 basehttp "GET /api/notifications/ HTTP/1.1" 200 296
INFO 2025-11-03 10:43:30,387 basehttp "GET /owner/supplier-orders/ HTTP/1.1" 200 23244
INFO 2025-11-03 10:43:30,958 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:43:30,972 basehttp "GET /api/notifications/ HTTP/1.1" 200 296
INFO 2025-11-03 10:43:31,011 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:43:31,045 basehttp "GET /api/notifications/ HTTP/1.1" 200 296
INFO 2025-11-03 10:43:37,817 basehttp "GET /owner/browse-products/ HTTP/1.1" 200 19293
INFO 2025-11-03 10:43:38,435 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:43:38,473 basehttp "GET /api/notifications/ HTTP/1.1" 200 296
INFO 2025-11-03 10:43:38,520 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:43:38,550 basehttp "GET /api/notifications/ HTTP/1.1" 200 296
INFO 2025-11-03 10:43:41,003 basehttp "GET /owner/suppliers/ HTTP/1.1" 200 17921
INFO 2025-11-03 10:43:41,737 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:43:41,806 basehttp "GET /api/notifications/ HTTP/1.1" 200 296
INFO 2025-11-03 10:43:41,848 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:43:41,915 basehttp "GET /api/notifications/ HTTP/1.1" 200 296
INFO 2025-11-03 10:43:42,995 basehttp "GET /owner/staff/ HTTP/1.1" 200 20872
INFO 2025-11-03 10:43:43,902 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:43:44,004 basehttp "GET /api/notifications/ HTTP/1.1" 200 296
INFO 2025-11-03 10:43:44,200 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:43:44,220 basehttp "GET /api/notifications/ HTTP/1.1" 200 296
INFO 2025-11-03 10:43:45,283 basehttp "GET /owner/profile/ HTTP/1.1" 200 26097
INFO 2025-11-03 10:43:45,918 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:43:45,978 basehttp "GET /api/notifications/ HTTP/1.1" 200 296
INFO 2025-11-03 10:43:46,064 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:43:46,076 basehttp "GET /api/notifications/ HTTP/1.1" 200 296
INFO 2025-11-03 10:43:49,451 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-11-03 10:43:49,489 basehttp "GET / HTTP/1.1" 200 28945
INFO 2025-11-03 10:43:52,881 basehttp "GET /login/ HTTP/1.1" 200 7293
INFO 2025-11-03 10:44:00,743 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-11-03 10:44:00,995 basehttp "GET /supplier/dashboard/ HTTP/1.1" 200 25875
INFO 2025-11-03 10:44:01,526 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:44:01,566 basehttp "GET /api/notifications/ HTTP/1.1" 200 671
INFO 2025-11-03 10:44:01,601 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:44:01,645 basehttp "GET /api/notifications/ HTTP/1.1" 200 671
INFO 2025-11-03 10:44:31,124 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:44:31,135 basehttp "GET /api/notifications/ HTTP/1.1" 200 671
INFO 2025-11-03 10:44:42,385 basehttp "GET /supplier/inventory/ HTTP/1.1" 200 21456
INFO 2025-11-03 10:44:43,024 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:44:43,057 basehttp "GET /api/notifications/ HTTP/1.1" 200 671
INFO 2025-11-03 10:44:43,113 basehttp "GET /api/messages/ HTTP/1.1" 200 19
INFO 2025-11-03 10:44:43,132 basehttp "GET /api/notifications/ HTTP/1.1" 200 671
INFO 2025-11-03 10:44:45,171 basehttp "GET /supplier/supplier-orders/ HTTP/1.1" 200 22240
